Species,Size_class,Number
Ofav,1,3489
Ofav,2,884
Ofav,3,238
Ofav,4,102
Ofav,5,69
Ofav,6,28
Ofav,7,32
Ofav,8,15
Ofav,9,16
Ofav,10,5
Ofav,11,25
Mcav,1,3172
Mcav,2,879
Mcav,3,321
Mcav,4,157
Mcav,5,94
Mcav,6,79
Mcav,7,50
Mcav,8,32
Mcav,9,19
Mcav,10,22
Mcav,11,78
Cnat,1,3003
Cnat,2,1092
Cnat,3,370
Cnat,4,176
Cnat,5,82
Cnat,6,47
Cnat,7,32
Cnat,8,21
Cnat,9,23
Cnat,10,13
Cnat,11,44
Past,1,3227
Past,2,891
Past,3,343
Past,4,147
Past,5,93
Past,6,63
Past,7,38
Past,8,20
Past,9,17
Past,10,15
Past,11,49
Ssid,1,3588
Ssid,2,771
Ssid,3,258
Ssid,4,110
Ssid,5,56
Ssid,6,35
Ssid,7,28
Ssid,8,13
Ssid,9,8
Ssid,10,8
Ssid,11,28